source,target,sign,interaction_type,resource,source_type,target_type,locations
Metab__CHEBI:16541_e,Gene1__P13473,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene1__P13473,Metab__CHEBI:16541_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:16541_c,Gene1__P13473_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene1__P13473_rev,Metab__CHEBI:16541_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:16541_l,Gene1__P13473,1,transport,TCDB,small_molecule,protein,"('l',)"
Gene1__P13473,Metab__CHEBI:16541_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:16541_c,Gene1__P13473_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene1__P13473_rev,Metab__CHEBI:16541_l,1,transport,TCDB,protein,small_molecule,"('l',)"
Metab__CHEBI:16541_v,Gene1__P13473,1,transport,TCDB,small_molecule,protein,"('v',)"
Gene1__P13473,Metab__CHEBI:16541_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:16541_c,Gene1__P13473_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene1__P13473_rev,Metab__CHEBI:16541_v,1,transport,TCDB,protein,small_molecule,"('v',)"
Metab__CHEBI:24996_e,Gene2__O95907,1,transport,TCDB;SLC,small_molecule,protein,"('e',)"
Gene2__O95907,Metab__CHEBI:24996_c,1,transport,TCDB;SLC,protein,small_molecule,"('c',)"
Metab__CHEBI:24996_c,Gene2__O95907_rev,1,transport,TCDB;SLC,small_molecule,protein,"('c',)"
Gene2__O95907_rev,Metab__CHEBI:24996_e,1,transport,TCDB;SLC,protein,small_molecule,"('e',)"
Metab__CHEBI:22563_e,Gene3__Q96S37,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene3__Q96S37,Metab__CHEBI:22563_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:22563_c,Gene3__Q96S37_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene3__Q96S37_rev,Metab__CHEBI:22563_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:30839_e,Gene4__Q96S37,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene4__Q96S37,Metab__CHEBI:30839_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:30839_c,Gene4__Q96S37_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene4__Q96S37_rev,Metab__CHEBI:30839_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:9885_e,Gene5__Q96S37,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene5__Q96S37,Metab__CHEBI:9885_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9885_c,Gene5__Q96S37_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene5__Q96S37_rev,Metab__CHEBI:9885_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:14911_g,Gene6__Q13596,1,transport,TCDB,small_molecule,protein,"('g',)"
Gene6__Q13596,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene6__Q13596_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene6__Q13596_rev,Metab__CHEBI:14911_g,1,transport,TCDB,protein,small_molecule,"('g',)"
Metab__CHEBI:14911_v,Gene6__Q13596,1,transport,TCDB,small_molecule,protein,"('v',)"
Gene6__Q13596,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene6__Q13596_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene6__Q13596_rev,Metab__CHEBI:14911_v,1,transport,TCDB,protein,small_molecule,"('v',)"
Metab__CHEBI:14911_v,Gene7__O60749,1,transport,TCDB,small_molecule,protein,"('v',)"
Gene7__O60749,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene7__O60749_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene7__O60749_rev,Metab__CHEBI:14911_v,1,transport,TCDB,protein,small_molecule,"('v',)"
Metab__CHEBI:14911_e,Gene8__O60493,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene8__O60493,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene8__O60493_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene8__O60493_rev,Metab__CHEBI:14911_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:14911_v,Gene8__O60493,1,transport,TCDB,small_molecule,protein,"('v',)"
Gene8__O60493,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene8__O60493_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene8__O60493_rev,Metab__CHEBI:14911_v,1,transport,TCDB,protein,small_molecule,"('v',)"
Metab__CHEBI:14911_v,Gene9__O95219,1,transport,TCDB,small_molecule,protein,"('v',)"
Gene9__O95219,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene9__O95219_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene9__O95219_rev,Metab__CHEBI:14911_v,1,transport,TCDB,protein,small_molecule,"('v',)"
Metab__CHEBI:14911_c,Gene10__Q9Y5X3,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene10__Q9Y5X3,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene10__Q9Y5X3_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene10__Q9Y5X3_rev,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_e,Gene10__Q9Y5X3,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene10__Q9Y5X3,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene10__Q9Y5X3_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene10__Q9Y5X3_rev,Metab__CHEBI:14911_e,1,transport,TCDB,protein,small_molecule,"('e',)"
