source,target,sign,interaction_type,resource,source_type,target_type,locations
Metab__CHEBI:5584_e,Gene8__P63115,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene8__P63115,Metab__CHEBI:5584_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:5584_c,Gene8__P63115_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene8__P63115_rev,Metab__CHEBI:5584_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:4097_e,Gene9__P63115,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene9__P63115,Metab__CHEBI:4097_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:4097_c,Gene9__P63115_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene9__P63115_rev,Metab__CHEBI:4097_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:6175_e,Gene10__P63115,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene10__P63115,Metab__CHEBI:6175_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:6175_c,Gene10__P63115_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene10__P63115_rev,Metab__CHEBI:6175_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:83821_e,Gene11__P63115,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene11__P63115,Metab__CHEBI:83821_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:83821_c,Gene11__P63115_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene11__P63115_rev,Metab__CHEBI:83821_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:25367_e,Gene12__Q60931,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene12__Q60931,Metab__CHEBI:25367_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:25367_c,Gene12__Q60931_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene12__Q60931_rev,Metab__CHEBI:25367_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:25367_m,Gene12__Q60931,1,transport,TCDB,small_molecule,protein,"('m',)"
Gene12__Q60931,Metab__CHEBI:25367_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:25367_c,Gene12__Q60931_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene12__Q60931_rev,Metab__CHEBI:25367_m,1,transport,TCDB,protein,small_molecule,"('m',)"
Metab__CHEBI:36080_e,Gene13__A2ARV4,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene13__A2ARV4,Metab__CHEBI:36080_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:36080_c,Gene13__A2ARV4_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene13__A2ARV4_rev,Metab__CHEBI:36080_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:36080_v,Gene13__A2ARV4,1,transport,TCDB,small_molecule,protein,"('v',)"
Gene13__A2ARV4,Metab__CHEBI:36080_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:36080_c,Gene13__A2ARV4_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene13__A2ARV4_rev,Metab__CHEBI:36080_v,1,transport,TCDB,protein,small_molecule,"('v',)"
Metab__CHEBI:3308_e,Gene14__Q8BLA8,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene14__Q8BLA8,Metab__CHEBI:3308_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3308_c,Gene14__Q8BLA8_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene14__Q8BLA8_rev,Metab__CHEBI:3308_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:8345_e,Gene15__Q8BLA8,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene15__Q8BLA8,Metab__CHEBI:8345_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:8345_c,Gene15__Q8BLA8_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene15__Q8BLA8_rev,Metab__CHEBI:8345_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:3731_e,Gene16__Q9WVC8,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene16__Q9WVC8,Metab__CHEBI:3731_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3731_c,Gene16__Q9WVC8_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene16__Q9WVC8_rev,Metab__CHEBI:3731_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:5589_e,Gene17__Q9WVC8,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene17__Q9WVC8,Metab__CHEBI:5589_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:5589_c,Gene17__Q9WVC8_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene17__Q9WVC8_rev,Metab__CHEBI:5589_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:29987_e,Gene18__Q9WTR6,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene18__Q9WTR6,Metab__CHEBI:29987_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:29987_c,Gene18__Q9WTR6_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene18__Q9WTR6_rev,Metab__CHEBI:29987_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:29987_l,Gene18__Q9WTR6,1,transport,TCDB,small_molecule,protein,"('l',)"
Gene18__Q9WTR6,Metab__CHEBI:29987_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:29987_c,Gene18__Q9WTR6_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene18__Q9WTR6_rev,Metab__CHEBI:29987_l,1,transport,TCDB,protein,small_molecule,"('l',)"
Metab__CHEBI:29987_e,Gene19__P10852,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene19__P10852,Metab__CHEBI:29987_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:29987_c,Gene19__P10852_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene19__P10852_rev,Metab__CHEBI:29987_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:29987_l,Gene19__P10852,1,transport,TCDB,small_molecule,protein,"('l',)"
Gene19__P10852,Metab__CHEBI:29987_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:29987_c,Gene19__P10852_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene19__P10852_rev,Metab__CHEBI:29987_l,1,transport,TCDB,protein,small_molecule,"('l',)"
Metab__CHEBI:4052_e,Gene20__Q9WTR6,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene20__Q9WTR6,Metab__CHEBI:4052_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:4052_c,Gene20__Q9WTR6_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene20__Q9WTR6_rev,Metab__CHEBI:4052_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:4052_l,Gene20__Q9WTR6,1,transport,TCDB,small_molecule,protein,"('l',)"
Gene20__Q9WTR6,Metab__CHEBI:4052_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:4052_c,Gene20__Q9WTR6_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene20__Q9WTR6_rev,Metab__CHEBI:4052_l,1,transport,TCDB,protein,small_molecule,"('l',)"
Metab__CHEBI:4052_e,Gene21__P10852,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene21__P10852,Metab__CHEBI:4052_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:4052_c,Gene21__P10852_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene21__P10852_rev,Metab__CHEBI:4052_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:4052_l,Gene21__P10852,1,transport,TCDB,small_molecule,protein,"('l',)"
Gene21__P10852,Metab__CHEBI:4052_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:4052_c,Gene21__P10852_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene21__P10852_rev,Metab__CHEBI:4052_l,1,transport,TCDB,protein,small_molecule,"('l',)"
Metab__CHEBI:4052_e,Gene22__Q8C6U2,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene22__Q8C6U2,Metab__CHEBI:4052_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:4052_c,Gene22__Q8C6U2_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene22__Q8C6U2_rev,Metab__CHEBI:4052_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:5974_m,Gene23__Q8R0Z5,1,transport,TCDB,small_molecule,protein,"('m',)"
Gene23__Q8R0Z5,Metab__CHEBI:5974_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:5974_c,Gene23__Q8R0Z5_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene23__Q8R0Z5_rev,Metab__CHEBI:5974_m,1,transport,TCDB,protein,small_molecule,"('m',)"
Metab__CHEBI:24636_e,Gene24__Q80VM9,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene24__Q80VM9,Metab__CHEBI:24636_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:24636_c,Gene24__Q80VM9_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene24__Q80VM9_rev,Metab__CHEBI:24636_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:25094_e,Gene25__Q09143,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene25__Q09143,Metab__CHEBI:25094_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:25094_c,Gene25__Q09143_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene25__Q09143_rev,Metab__CHEBI:25094_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:7784_e,Gene26__Q09143,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene26__Q09143,Metab__CHEBI:7784_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:7784_c,Gene26__Q09143_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene26__Q09143_rev,Metab__CHEBI:7784_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:2643_e,Gene27__Q09143,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene27__Q09143,Metab__CHEBI:2643_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:2643_c,Gene27__Q09143_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene27__Q09143_rev,Metab__CHEBI:2643_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:2472_eg,Gene28__Q60961,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene28__Q60961,Metab__CHEBI:2472_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:2472_c,Gene28__Q60961_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene28__Q60961_rev,Metab__CHEBI:2472_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:9263_eg,Gene29__Q60961,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene29__Q60961,Metab__CHEBI:9263_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9263_c,Gene29__Q60961_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene29__Q60961_rev,Metab__CHEBI:9263_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:9893_eg,Gene30__Q60961,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene30__Q60961,Metab__CHEBI:9893_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9893_c,Gene30__Q60961_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene30__Q60961_rev,Metab__CHEBI:9893_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:9579_eg,Gene31__Q60961,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene31__Q60961,Metab__CHEBI:9579_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9579_c,Gene31__Q60961_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene31__Q60961_rev,Metab__CHEBI:9579_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:7647_eg,Gene32__Q60961,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene32__Q60961,Metab__CHEBI:7647_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:7647_c,Gene32__Q60961_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene32__Q60961_rev,Metab__CHEBI:7647_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:24869_eg,Gene33__Q60961,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene33__Q60961,Metab__CHEBI:24869_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:24869_c,Gene33__Q60961_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene33__Q60961_rev,Metab__CHEBI:24869_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:23888_eg,Gene34__Q60961,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene34__Q60961,Metab__CHEBI:23888_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:23888_c,Gene34__Q60961_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene34__Q60961_rev,Metab__CHEBI:23888_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:8345_e,Gene35__Q6VV64,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene35__Q6VV64,Metab__CHEBI:8345_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:8345_c,Gene35__Q6VV64_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene35__Q6VV64_rev,Metab__CHEBI:8345_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:3308_e,Gene36__Q8R4P5,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene36__Q8R4P5,Metab__CHEBI:3308_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3308_c,Gene36__Q8R4P5_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene36__Q8R4P5_rev,Metab__CHEBI:3308_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:9175_e,Gene37__Q8R4P5,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene37__Q8R4P5,Metab__CHEBI:9175_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9175_c,Gene37__Q8R4P5_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene37__Q8R4P5_rev,Metab__CHEBI:9175_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:8345_e,Gene38__Q8R4P5,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene38__Q8R4P5,Metab__CHEBI:8345_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:8345_c,Gene38__Q8R4P5_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene38__Q8R4P5_rev,Metab__CHEBI:8345_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:7647_e,Gene39__Q61672,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene39__Q61672,Metab__CHEBI:7647_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:7647_c,Gene39__Q61672_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene39__Q61672_rev,Metab__CHEBI:7647_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:7647_n,Gene39__Q61672,1,transport,TCDB,small_molecule,protein,"('n',)"
Gene39__Q61672,Metab__CHEBI:7647_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:7647_c,Gene39__Q61672_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene39__Q61672_rev,Metab__CHEBI:7647_n,1,transport,TCDB,protein,small_molecule,"('n',)"
Metab__CHEBI:9840_e,Gene40__Q9CXK4,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene40__Q9CXK4,Metab__CHEBI:9840_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9840_c,Gene40__Q9CXK4_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene40__Q9CXK4_rev,Metab__CHEBI:9840_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:9840_g,Gene40__Q9CXK4,1,transport,TCDB,small_molecule,protein,"('g',)"
Gene40__Q9CXK4,Metab__CHEBI:9840_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9840_c,Gene40__Q9CXK4_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene40__Q9CXK4_rev,Metab__CHEBI:9840_g,1,transport,TCDB,protein,small_molecule,"('g',)"
Metab__CHEBI:9175_e,Gene41__Q8BU91,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene41__Q8BU91,Metab__CHEBI:9175_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9175_c,Gene41__Q8BU91_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene41__Q8BU91_rev,Metab__CHEBI:9175_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:9175_eg,Gene41__Q8BU91,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene41__Q8BU91,Metab__CHEBI:9175_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:9175_c,Gene41__Q8BU91_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene41__Q8BU91_rev,Metab__CHEBI:9175_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:22563_e,Gene42__Q8BU91,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene42__Q8BU91,Metab__CHEBI:22563_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:22563_c,Gene42__Q8BU91_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene42__Q8BU91_rev,Metab__CHEBI:22563_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:22563_eg,Gene42__Q8BU91,1,transport,TCDB,small_molecule,protein,"('eg',)"
Gene42__Q8BU91,Metab__CHEBI:22563_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:22563_c,Gene42__Q8BU91_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene42__Q8BU91_rev,Metab__CHEBI:22563_eg,1,transport,TCDB,protein,small_molecule,"('eg',)"
Metab__CHEBI:25367_c,Gene43__O09049,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene43__O09049,Metab__CHEBI:25367_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:25367_c,Gene43__O09049_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene43__O09049_rev,Metab__CHEBI:25367_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3731_e,Gene44__Q75UR0,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene44__Q75UR0,Metab__CHEBI:3731_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3731_c,Gene44__Q75UR0_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene44__Q75UR0_rev,Metab__CHEBI:3731_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:3731_r,Gene44__Q75UR0,1,transport,TCDB,small_molecule,protein,"('r',)"
Gene44__Q75UR0,Metab__CHEBI:3731_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3731_c,Gene44__Q75UR0_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene44__Q75UR0_rev,Metab__CHEBI:3731_r,1,transport,TCDB,protein,small_molecule,"('r',)"
Metab__CHEBI:3308_m,Gene45__Q3UMR5,1,transport,TCDB,small_molecule,protein,"('m',)"
Gene45__Q3UMR5,Metab__CHEBI:3308_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3308_c,Gene45__Q3UMR5_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene45__Q3UMR5_rev,Metab__CHEBI:3308_m,1,transport,TCDB,protein,small_molecule,"('m',)"
Metab__CHEBI:24834_e,Gene46__Q8BHY3,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene46__Q8BHY3,Metab__CHEBI:24834_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:24834_c,Gene46__Q8BHY3_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene46__Q8BHY3_rev,Metab__CHEBI:24834_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:25094_e,Gene47__P18581,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene47__P18581,Metab__CHEBI:25094_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:25094_c,Gene47__P18581_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene47__P18581_rev,Metab__CHEBI:25094_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:7784_e,Gene48__P18581,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene48__P18581,Metab__CHEBI:7784_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:7784_c,Gene48__P18581_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene48__P18581_rev,Metab__CHEBI:7784_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:2643_e,Gene49__P18581,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene49__P18581,Metab__CHEBI:2643_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:2643_c,Gene49__P18581_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene49__P18581_rev,Metab__CHEBI:2643_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:3308_c,Gene50__Q9WTR1,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene50__Q9WTR1,Metab__CHEBI:3308_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3308_c,Gene50__Q9WTR1_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene50__Q9WTR1_rev,Metab__CHEBI:3308_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3308_e,Gene50__Q9WTR1,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene50__Q9WTR1,Metab__CHEBI:3308_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3308_c,Gene50__Q9WTR1_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene50__Q9WTR1_rev,Metab__CHEBI:3308_e,1,transport,TCDB,protein,small_molecule,"('e',)"
