source,target,sign,interaction_type,resource,source_type,target_type,locations
Metab__CHEBI:15595_m,Gene1__Q9CR62,1,transport,TCDB,small_molecule,protein,"('m',)"
Gene1__Q9CR62,Metab__CHEBI:15595_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:15595_c,Gene1__Q9CR62_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene1__Q9CR62_rev,Metab__CHEBI:15595_m,1,transport,TCDB,protein,small_molecule,"('m',)"
Metab__CHEBI:30915_c,Gene2__Q9CR62,1,transport,TCDB;GEM_transporter:Mouse-GEM,small_molecule,protein,"('c',)"
Gene2__Q9CR62,Metab__CHEBI:30915_c,1,transport,TCDB;GEM_transporter:Mouse-GEM,protein,small_molecule,"('c',)"
Metab__CHEBI:30915_c,Gene2__Q9CR62_rev,1,transport,TCDB;GEM_transporter:Mouse-GEM,small_molecule,protein,"('c',)"
Gene2__Q9CR62_rev,Metab__CHEBI:30915_c,1,transport,TCDB;GEM_transporter:Mouse-GEM,protein,small_molecule,"('c',)"
Metab__CHEBI:30915_m,Gene2__Q9CR62,1,transport,TCDB;GEM_transporter:Mouse-GEM,small_molecule,protein,"('m',)"
Gene2__Q9CR62,Metab__CHEBI:30915_c,1,transport,TCDB;GEM_transporter:Mouse-GEM,protein,small_molecule,"('c',)"
Metab__CHEBI:30915_c,Gene2__Q9CR62_rev,1,transport,TCDB;GEM_transporter:Mouse-GEM,small_molecule,protein,"('c',)"
Gene2__Q9CR62_rev,Metab__CHEBI:30915_m,1,transport,TCDB;GEM_transporter:Mouse-GEM,protein,small_molecule,"('m',)"
Metab__CHEBI:5974_m,Gene3__Q920G8,1,transport,TCDB,small_molecule,protein,"('m',)"
Gene3__Q920G8,Metab__CHEBI:5974_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:5974_c,Gene3__Q920G8_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene3__Q920G8_rev,Metab__CHEBI:5974_m,1,transport,TCDB,protein,small_molecule,"('m',)"
Metab__CHEBI:14911_e,Gene4__Q8VCM2,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene4__Q8VCM2,Metab__CHEBI:14911_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:14911_c,Gene4__Q8VCM2_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene4__Q8VCM2_rev,Metab__CHEBI:14911_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:3473_e,Gene5__Q925H0,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene5__Q925H0,Metab__CHEBI:3473_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3473_c,Gene5__Q925H0_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene5__Q925H0_rev,Metab__CHEBI:3473_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:3731_e,Gene6__Q61835,1,transport,TCDB,small_molecule,protein,"('e',)"
Gene6__Q61835,Metab__CHEBI:3731_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:3731_c,Gene6__Q61835_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene6__Q61835_rev,Metab__CHEBI:3731_e,1,transport,TCDB,protein,small_molecule,"('e',)"
Metab__CHEBI:5448_g,Gene7__Q8BMT9,1,transport,TCDB,small_molecule,protein,"('g',)"
Gene7__Q8BMT9,Metab__CHEBI:5448_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:5448_c,Gene7__Q8BMT9_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene7__Q8BMT9_rev,Metab__CHEBI:5448_g,1,transport,TCDB,protein,small_molecule,"('g',)"
Metab__CHEBI:5448_r,Gene7__Q8BMT9,1,transport,TCDB,small_molecule,protein,"('r',)"
Gene7__Q8BMT9,Metab__CHEBI:5448_c,1,transport,TCDB,protein,small_molecule,"('c',)"
Metab__CHEBI:5448_c,Gene7__Q8BMT9_rev,1,transport,TCDB,small_molecule,protein,"('c',)"
Gene7__Q8BMT9_rev,Metab__CHEBI:5448_r,1,transport,TCDB,protein,small_molecule,"('r',)"
