source,target,source_type,target_type,id_type_a,id_type_b,interaction_type,resource,mor,locations,attrs
CHEBI:95165,frozenset({'Q92597'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,"('c', 'e', 'n')",{'stitch_mode': 'activation'}
CHEBI:65329,frozenset({'P04275'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,(),{'stitch_mode': 'inhibition'}
CHEBI:3023,frozenset({'Q04828'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,"('c',)",{'stitch_mode': 'inhibition'}
CHEBI:16794,frozenset({'P14410'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,"('e',)",{'stitch_mode': 'inhibition'}
CHEBI:17026,frozenset({'P07498'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,(),{'stitch_mode': 'inhibition'}
CHEBI:775133,frozenset({'P01106'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,"('c', 'n')",{'stitch_mode': 'inhibition'}
CHEBI:34316,frozenset({'P10145'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,(),{'stitch_mode': 'activation'}
CHEBI:188061,frozenset({'O00230'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,(),{'stitch_mode': 'activation'}
CHEBI:9068,frozenset({'P07203'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,"('c', 'm')",{'stitch_mode': 'activation'}
CHEBI:16796,frozenset({'P05305'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,(),{'stitch_mode': 'inhibition'}
CHEBI:16236,frozenset({'O75891'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,"('c',)",{'stitch_mode': 'inhibition'}
CHEBI:15996,frozenset({'P20936'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,"('c',)",{'stitch_mode': 'activation'}
CHEBI:31669,frozenset({'P49888'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,"('c',)",{'stitch_mode': 'inhibition'}
CHEBI:44658,frozenset({'P10451'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,(),{'stitch_mode': 'activation'}
CHEBI:5441,frozenset({'P41159'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,(),{'stitch_mode': 'activation'}
CHEBI:22984,frozenset({'P09683'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,(),{'stitch_mode': 'activation'}
CHEBI:50859,frozenset({'Q9BY76'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,(),{'stitch_mode': 'activation'}
CHEBI:16469,frozenset({'P78556'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,(),{'stitch_mode': 'inhibition'}
CHEBI:17351,frozenset({'Q9BY76'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,(),{'stitch_mode': 'activation'}
CHEBI:17158,frozenset({'Q16775'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,"('c', 'm')",{'stitch_mode': 'activation'}
CHEBI:58968,frozenset({'P36969'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,"('c', 'm')",{'stitch_mode': 'inhibition'}
CHEBI:78677,frozenset({'P05305'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,(),{'stitch_mode': 'inhibition'}
CHEBI:64210,frozenset({'P10914'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,"('c', 'n')",{'stitch_mode': 'activation'}
CHEBI:16842,frozenset({'P01138'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,"('v',)",{'stitch_mode': 'activation'}
CHEBI:9288,frozenset({'O00253'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,"('g',)",{'stitch_mode': 'activation'}
CHEBI:36025,frozenset({'Q9HD89'}),small_molecule,protein,chebi,uniprot,other,STITCH,-1,(),{'stitch_mode': 'inhibition'}
CHEBI:51348,frozenset({'P48448'}),small_molecule,protein,chebi,uniprot,other,STITCH,1,(),{'stitch_mode': 'activation'}
