query_entity_label,entity_resolution_status,query_entity_pk,interaction_type,relation_category,sources,source_count,seed_role,partner_label,partner_entity_type,partner_canonical_identifier,evidence_count,subject_label,predicate,object_label,relation_pk
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,interacts_with,interaction,chembl,1,subject,4'-phosphopantetheinyl transferase ffp,Protein:MI:0326,Q9F4F7,1,azelaic acid,interacts_with,4'-phosphopantetheinyl transferase ffp,cea0c943-e50f-d5b8-f32c-5a494d4a9134
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,interacts_with,interaction,chembl,1,subject,"ADCYAP1R1, PAC1, PAC1R, PACAPR, PACAPRI...",Protein:MI:0326,P16473,2,azelaic acid,interacts_with,"ADCYAP1R1, PAC1, PAC1R, PACAPR, PACAPRI...",b7c9ced9-8258-969c-04bd-acec43088c6b
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,interacts_with,interaction,chembl,1,subject,Ferritin light chain,Protein:MI:0326,P02791,1,azelaic acid,interacts_with,Ferritin light chain,17d3721e-3e56-2d93-7583-3d9ed63b1f02
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,interacts_with,interaction,chembl,1,subject,LMNA,Protein:MI:0326,P02545,2,azelaic acid,interacts_with,LMNA,50986927-7d63-c0d1-09e3-c7916875b474
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,interacts_with,interaction,chembl,1,subject,NF-kappa-B,Protein:MI:0326,P19838,2,azelaic acid,interacts_with,NF-kappa-B,7e5614f0-4994-21b2-5252-20ec4748083f
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,interacts_with,interaction,drugcentral,1,subject,3-oxo-5-alpha-steroid 4-dehydrogenase 2,Protein:MI:0326,P31213,1,azelaic acid,interacts_with,3-oxo-5-alpha-steroid 4-dehydrogenase 2,edeaa582-2e18-c338-b5fe-6dc7ff7bb1fe
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,has_member,association,foodb,1,object,Asparagus,Food:OM:0020,0f8b579ee55744f3985b96d39b1029eb,1,Asparagus,has_member,azelaic acid,82df4376-2104-a97d-1ac2-243bc1012a55
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,has_member,association,foodb,1,object,Common bean,Food:OM:0020,80827ca79bba1ac34655aeedfa8f509b,1,Common bean,has_member,azelaic acid,3f1526d3-524b-663c-86ef-c8a404301b55
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,has_member,association,foodb,1,object,Potato,Food:OM:0020,354e1ea00837da47cbcd625fd66c84ea,1,Potato,has_member,azelaic acid,2bb86317-e75a-2306-cca1-5d3e214813b5
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,hmdb,1,object,Carbonyl compounds,Cv Term:OM:0012,CHEMONTID:0001831,1,Carbonyl compounds,associated_with,azelaic acid,a3786faa-d5a2-ce10-e8c5-51a0c688c616
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,hmdb,1,object,Carboxylic acids,Cv Term:OM:0012,CHEMONTID:0001205,1,Carboxylic acids,associated_with,azelaic acid,bfe5d82d-8eca-bd02-4759-a138d81026da
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,hmdb,1,object,Dicarboxylic acids and derivatives,Cv Term:OM:0012,CHEMONTID:0000346,1,Dicarboxylic acids and derivatives,associated_with,azelaic acid,0e0be29b-8798-6501-2660-238d0fc4dd1e
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,hmdb,1,object,Fatty acids and conjugates,Cv Term:OM:0012,CHEMONTID:0000262,1,Fatty acids and conjugates,associated_with,azelaic acid,4dafa330-5ffe-f37a-6df1-181311cef15d
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,hmdb,1,object,Hydrocarbon derivatives,Cv Term:OM:0012,CHEMONTID:0004150,1,Hydrocarbon derivatives,associated_with,azelaic acid,2d256d14-c8b8-5020-cb76-6e79f1777709
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,hmdb,1,object,Medium-chain fatty acids,Cv Term:OM:0012,CHEMONTID:0003086,1,Medium-chain fatty acids,associated_with,azelaic acid,3910fca7-8d5c-c682-5ce1-ae128b5d6031
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,hmdb,1,object,Organic oxides,Cv Term:OM:0012,CHEMONTID:0003940,1,Organic oxides,associated_with,azelaic acid,325a4e42-eb4a-b5e6-356c-909b1a217f00
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,macdb,1,object,Acinar Cell Adenocarcinoma (ACA),Cv Term:OM:0012,1,1,Acinar Cell Adenocarcinoma (ACA),associated_with,azelaic acid,afa1644f-47b6-9ed6-5d8b-e3221e577ecd
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,macdb,1,object,Adenocarcinoma (AC),Cv Term:OM:0012,2,6,Adenocarcinoma (AC),associated_with,azelaic acid,a1820c78-aa4c-2640-11fc-849afc6bed97
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,macdb,1,object,Breast Cancer Recurrence,Cv Term:OM:0012,34,2,Breast Cancer Recurrence,associated_with,azelaic acid,ce3a2076-f252-b49c-db5d-2af60462d3c9
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,macdb,1,object,Clear Cell Renal Cell Carcinoma (ccRCC),Cv Term:OM:0012,43,1,Clear Cell Renal Cell Carcinoma (ccRCC),associated_with,azelaic acid,50e2b811-7663-04e6-150e-94855a8976a3
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,macdb,1,object,Clear Cell Renal Cell Carcinoma (ccRCC) Stage,Cv Term:OM:0012,44,1,Clear Cell Renal Cell Carcinoma (ccRCC) Stage,associated_with,azelaic acid,fa9a2c94-fdde-3cc0-7ba1-92548aab6a1a
Azelate,resolved,dae8e667-770c-5d34-a381-8fd25179bc58,associated_with,association,macdb,1,object,Clear Cell Renal Cell Carcinoma (ccRCC) metastasis,Cv Term:OM:0012,39,1,Clear Cell Renal Cell Carcinoma (ccRCC) metastasis,associated_with,azelaic acid,d6e47bb9-1c53-6588-7d35-ccd058241a65
