food_name,source,predicate,matched_seed_entity_pks,matched_seed_display_labels,matched_seed_resolution_status,matched_seed_resolution_statuses,food_entity_pk,food_canonical,relation_pk,evidence_count
farro kernel,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,b7ce39db-c963-b296-b9c1-3cd6602cda47,42753171af80054210446ad650faf9b6,076d5010-edcb-d86f-fe01-9a3e5f1d9032,1
fennel (whole or pieces),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,f58fd55a-5609-e7c2-bc8c-a4ed2bb25bbc,3e86b382942c57d437de965576ce636e,36b5c2fc-7dc2-0e41-9f80-d441ab09d7a5,1
fig (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,8e100668-2e50-d378-18a8-6a4e3e8e753b,eb406c33d43a4075fc971e5a98014106,4f6ce5bf-cb50-1b39-c424-f0b35a46ace2,1
ginger root,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,9341ef34-5075-604e-31e4-cf86f8cb4c2b,9ca733775070b03e2a50fefb2bc3ea92,e6170daa-ea5b-14b2-72b8-14ee43c164dd,1
goat milk butter (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,d9694c8b-e0ea-a5f6-4c61-3253f1a92ce1,be8fe0ab0352cd89883b8f95c1bca3af,79ca5afe-2e6d-62be-affa-403137a961d8,1
gorgonzola cheese,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,573ff6bb-b245-99c6-391b-dfaf62bf2530,402a2d3ea8636d46a5a4a5d0167bf8ed,93c21bfb-9f63-92c8-fdc7-1ebd158e9eda,1
gouda cheese,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,20fdc3e2-f217-a8aa-9b91-34083e917aef,8f24061ca8fe82743c0dda8071caa70b,02c195e2-83e0-bc0a-0391-762156c47101,1
gouda cheese (smoked),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,4ad0e83b-c912-0538-3dc5-ffaab6e8464b,5c25f91a4e5d38af8d47e30def70d564,5cb7b810-1196-3873-e14c-af54641706d8,1
halibut fillet (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,752b6178-150d-1967-32da-9f3f30b2634b,28595716d1a6bcf411b1c9cff2a54754,4de53a18-b13d-2506-155c-938a19e5e96f,1
"hemp seed (dehulled, raw)",ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,ce56f9ee-b2d8-f5d6-796e-3e342b87f029,47743be413e71c0cca0fdaa402504c4a,3346ecfb-0585-b4aa-1f7c-f9086c83da7b,1
irish moss (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,be438443-42b8-287e-b590-c9a3c6761f4a,23ce9fb44b148e5d0007721a1f1b8d82,e002fd5e-a756-fc24-7401-58e6cd43b674,1
jalapeno pepper (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,f4aea319-e8ea-2326-8c70-e0696dbf3904,56b9c0d913a9f1f6f49b8fe90c79ce50,76053853-87ea-b275-dabb-fb4c48b70199,1
kale lacinato leaf (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,980cb9a2-2d24-026c-4cd5-3d2ff8727100,cc4fe346555771affc99c0dbf246b178,bbc69c9b-3143-09fd-0234-59763f13cbac,1
kale leaf (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,d84dee43-e5ba-a5b1-f45a-f05864a1f071,b4601d6501424f90f795b3e55ed4ba39,bb3ee5b9-325f-957d-cde2-7a3a969515b0,1
khorasan wheat kernel (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,781e8942-5594-c10c-664c-2db21f9740e3,57bf62424d0aa393f9e977e0e0c58bd9,287baa0a-b6ba-413b-0797-045005506a46,1
lamb liver (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,88eba554-4296-b9c6-07c4-fa461df78e70,c5ccb7859ba897097db7c36be0d43beb,39a1451d-96cb-9d3d-260d-c41316b1f53f,1
lamb small intestine (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,81e8307c-bd2f-6e4c-79e9-62af95734a00,e571b5e60364dffe663a3c2690a2d11c,503db9d5-6c12-1e3d-7fc9-dfd03d2f47ad,1
lamb tongue (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,e4df0a64-2bbd-a240-fb30-05fa2a466647,8b162461dde12e663dd6bb7341fefce1,df815e80-d57d-e166-f9d8-8cab744e266a,1
laver (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,f6b25923-088b-c014-c7c0-a1b62535a84e,d7702e8ee6571fa406f48a4886f40f87,50cbf19b-de45-8077-b346-a93af568fbe2,1
lingonberry (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,3543ba33-1adf-f865-f808-2ca55a05ee78,da92f25931defcfb8852880251ddf575,ca85bfe3-a0d1-0956-8bde-abbf8020f36f,1
"lobster meat (shell on, frozen)",ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,28defe69-64d0-1d78-3ffd-85bf3387f334,15038fe552e5cfdd7feef9ec6a052cc2,fd26a341-c5d3-7213-a441-a2d99bc91f7c,1
long grain brown rice kernel (uncooked),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,c8456ba9-2a49-f6ab-1d61-ce090b316ef7,8196cd7ce993bd80c99418fc078010b3,16a40442-c968-c776-808c-a19a79a6db11,1
long-grain white rice (uncooked),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,564e821e-8f5b-d67e-3750-22434c81122e,e7a00532ff21d38fb4ba130fd028e851,cc72d86a-04bd-5a21-09c0-7c0a7ff62209,1
marionberry (frozen),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,9a2b7e0a-0d3b-9426-caf3-048b4f1f476d,669f32cc9f7f4e1099a350594e2cb2a7,8a59b678-d3bd-2927-1a14-cd96a3923943,1
mascarpone,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,3fdfb79e-2299-44cc-837d-713073721ebe,a2912f4f9b4fd6b3fbb959d93620f774,361c316e-2977-a989-66ad-3003c340f377,1
millet flour,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,a312b039-eba2-c5ea-c319-4c34090bd74c,d4c0f9ef3b8ad2ca79f1a601293a6069,84588a74-a64f-f49c-59aa-0d6e1e20f62a,1
mountain huckleberry (frozen),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,0c0f8eb9-faa1-f3b5-04c5-41ceaa14bf80,1a5aa72f20d1b85756a87515840cdef5,337321ac-285c-77ed-83e8-a9167abdcc1f,1
mung bean sprout,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,1d7325e3-3fb5-d187-14d8-d6d9539a9f00,2a3cbed1a027bb0b3e47067070a9ba98,7fd9ed58-6ad5-57d4-ae98-408d3ee56af6,1
oat flour,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,f36f4ce7-df67-161a-7cba-9b119dad72d8,e230e40154614d6c366c614aeda04959,b413193d-51ce-3488-750f-cd5ee1a8e394,1
oat milk,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,4d4bbc09-2610-eed7-c017-57221cfc266a,b2807d7424cbc54bd73e6285cc9203a1,8af92624-5f28-80e9-ad17-657a41926021,1
okra (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,1a5fe25e-73f9-ffa0-97af-df83617037fa,f6058b35fc2cc321e2b3b4291964322c,d2aec420-19e8-038d-03bc-9eea6717317a,1
pacific cod (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,cf1a8b74-5c02-ad5c-a77a-a8b711366cf3,30a584d8c5b362d9fa775122c3ed9446,29278d49-32f9-5145-c2a6-af8a60b6f1a3,1
paprika (ground),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,de7d40ce-72b6-5747-291b-2865d048c20d,0ee07dfd76f271db59fa4548559e0469,0b643295-a0a2-4d63-d598-f33c9ee0bf23,1
parmesan cheese (block),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,47d2eef0-4bd3-30bc-e576-f9f9d8a62bc5,3fb4d16f4cb4a60c65a0720e13773dbb,0e93c883-122a-5e28-d2b1-de0d9c2eb945,1
peanut (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,2f7c3e41-f359-7a7a-0f89-b1ba7cb94f52,8c1ba6be25dfa073c30f402d57f5d125,65215182-ecb4-d481-399b-e81c224b7ea9,1
piece of bison meat (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,61b193e5-23cc-6d4b-2003-23b1ebbac8db,89ecbd985b2764d9a584fc583952c333,ad6448b1-be37-c48e-954f-e6da5a3439ba,1
pink shrimp (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,02a94199-44ce-8d56-33b0-7bf487050ce1,11d52542d3543f2bcbe17d4e4aac0a62,52c737ca-09fe-8920-507c-a031f30e3d22,1
pinto bean (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,133e075d-7401-1c35-4353-5a3063e4662d,486690db97e8dd3990d964946875e7b2,79836bc0-e91e-b54b-e38b-d76f81f3dd68,1
pistachio nut (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,3f6da0b7-7393-689e-8bc7-7ce473205cc0,727648738d7438c7d96a146098cf3139,428f17ec-6073-14f5-4e9a-0d436f02f996,1
pomegranate aril (frozen),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,09b00cd9-8d92-0bdc-9f44-63ffb4c2ae2b,b533acbefc04ec55fcb917731bd9a055,2bb6b631-e406-fd8c-7a8a-9efddf4b8958,1
portobello mushroom (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,ea7112d1-1185-a58f-76c9-0c8a67e5ae4a,04f575d614fb683c0567b12929d3a806,3981dbf3-62a8-84e4-0381-781f20dec74d,1
potato (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,520480f2-c655-0521-d8ab-76f6bdb41bc0,1166f7b5f276f02d81b38d8ebc719e85,fc3351f2-35d4-b570-9b53-0599e494bbed,1
pumpkin (canned),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,b978af39-a738-872c-80b6-548a418ef3c2,03107a0b956473be8d30a3e695992168,3a7685ff-3785-262d-07df-5185a8814877,1
quinoa seed (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,fed75281-a757-bba3-c624-2a5382147794,5a3d3670629586cbe9f427982b74217b,1ba95c63-27ab-4153-2230-108b4e2bc0b5,1
red bell pepper (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,814f311d-224e-242f-87c6-212663901b93,8c2b841d4c03eb3abcb1515b1fbfbff8,e2b0451c-4814-1435-dcb3-a8f49482da78,1
red dragon fruit (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,18be37b1-8ae4-795e-012c-0675256aeb9a,2e635b4c1c1230de9171b4f469ac8397,91a8d414-473b-dc4c-c6fd-aca110bfb74e,1
red lentil (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,7d0794c0-b724-bf07-2681-30a9219e6c15,848084a31ae65cf751d54dd38b21e35a,5bf7c7c7-fba8-57ee-67e4-71a8fe85fb13,1
red raspberry (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,3cc4b9ed-3487-942b-0238-72a0de44e79d,90e76b9765242b69e65802ce1c54498b,315d720f-d481-553b-63f3-22c58a7a29d8,1
red variety sweet potato (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,f9f68214-695c-dd1a-33b9-89ae79474dc2,e6b6c9b825333f8a05b9ee62b3e9f741,26427d92-cd8d-b9aa-2e8d-30600649e445,1
