food_name,source,predicate,matched_seed_entity_pks,matched_seed_display_labels,matched_seed_resolution_status,matched_seed_resolution_statuses,food_entity_pk,food_canonical,relation_pk,evidence_count
Asparagus,foodb,has_member,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,61d0a0e5-9d1b-0338-60f4-95b957b25efd,0f8b579ee55744f3985b96d39b1029eb,82df4376-2104-a97d-1ac2-243bc1012a55,1
Common bean,foodb,has_member,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,f15d027b-3505-0d13-a0ce-03515eabae86,80827ca79bba1ac34655aeedfa8f509b,3f1526d3-524b-663c-86ef-c8a404301b55,1
Monterey Jack cheese flavoured with chili flakes,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,bbd5abde-c0e9-159a-71e3-35a74b91a5c4,db951d82faf2cbf38c7981d7b0119ac9,9c38cffd-9096-b0f6-8718-1f613fb02761,1
Potato,foodb,has_member,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,c824abb6-4fb5-da8c-5b67-dd1e848c0d40,354e1ea00837da47cbcd625fd66c84ea,2bb86317-e75a-2306-cca1-5d3e214813b5,1
alaria (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,c575f79b-7d44-0d3f-8304-469a32c184ab,5cd162172669b7489fe1dca3482de3ec,5583dcfa-ae4f-de04-4aca-a9c8c10dee66,1
almond kernel (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,b2144e85-4dcf-5d5b-06ed-1a405aa53171,344f96c8c19ff52ab8201a8c46eac490,3e1cd18a-e97f-c1a0-c202-58849dad1c81,1
almond milk,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,e565960f-fd2f-8394-bacb-a9a65e29e9cd,cce588db680d27a34cc14d9e9f895d3d,52ac4f67-4127-062a-d74e-3174aec34d85,1
apricot (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,89272381-df13-710d-6ac8-8e1dac5661ba,864c9a0505974d62f1ccc8e1d027cad6,1a5c22cb-cb03-336b-d76b-82cb38b59370,1
artichoke head (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,bd60b19a-6b31-15dd-337b-0f26768f12e2,cec5538878356662113480e372e27ef0,43fc6385-a2bc-24f7-d0f0-0e8e932a60a3,1
asparagus spear (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,4be89a1d-c8e1-7d5d-0b80-2f730ca74bc0,e80523afdb6ce93ad501e0308f6f7237,6167b4c3-c79d-1086-d04e-0bb4b9708213,1
bee pollen,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,7c7c99ca-b030-8629-56b8-36620ed9a853,8292518808966d137d00889e4b838673,7864e6e0-74a7-d6c8-807d-0b4b1c7a3362,1
beef heart (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,317f5941-7b78-5f5f-a425-0717af1fef19,d056945bf772ccb51f516a775512c338,2246da4e-467c-34ff-6bc6-20fb52ef829a,1
beef liver (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,bb10e0e0-a2d5-7787-12f2-633fcb5b73b6,28f38a30e4aff47acdc24ece965830ca,8ed5fa7c-a7eb-e76e-c2a7-9450d73b7f6b,1
"beef rib (prime grade, raw)",ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,2bed1f53-39b8-8078-ad5f-556a771eafa2,0311c479d739d50dafe4982b6e122877,e8aa73a4-e2db-71ca-a660-d8f602d14620,1
bilberry (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,93d37ee9-c7f1-9083-0d9d-12de9a221a7b,e17183d8dad3807bb4587eba784740b9,d4b3186c-fb1f-474e-d4bf-8a9f75af5788,1
black olive (canned),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,fdcbc38b-df98-8bb4-e5e4-ab0c63cb2714,a006d8d3ec748ad438e421516b515493,39d7ad46-f57b-9874-de47-2b5fa4486641,1
black turtle bean (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,1594b742-4d75-68ef-d81f-4746965927f5,663fdb46c6e7f49b773a7e20ed39a127,cb724059-0278-5d80-18a8-e65850b12336,1
black walnut (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,67d4167b-3853-7061-1dca-d7c3221980a6,cf9f7df77bc80d06eda994409b672457,62ebe719-e389-cf40-d2f4-8f1bc414b887,1
blackeyed pea (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,10f8c8ff-fc1f-20ea-04d3-0d75c90f158b,8ce60060cf946d791a55d34a4ace7569,5b9275cc-be1f-d58f-7ae2-49b83a1e661c,1
bok choy rosette,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,c39f189f-5021-f74a-8228-5caceb258249,5ac3e4f066356614c96516d57054d6d3,70108c84-5f8c-51f2-7a72-778fc3d85ea1,1
boysenberry (frozen),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,8d67a36e-715a-40ea-cad4-1402b9f6b704,6693def98dc00fa4b6c070231ac21f84,ae604e30-456e-7554-21b8-276656dc9c71,1
brown lentil (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,cc7922ea-d8ed-aecf-5066-c1d6e8620e8f,9501595cf55cd1be167e3bb49f007adf,02700d8c-607a-2e58-4542-8ef4bdbd1e91,1
brown mushroom (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,8b15f414-f15e-be80-4f40-1c18ddc6a6e0,598ddcfd1f6bfb06c1f79f1e1cbe79f7,9c20d7f6-d781-2139-5b52-7c39cd4f0558,1
buckwheat flour,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,f7a06a62-7b87-1510-b083-fdf3101de5c2,3b293d832d39f845be02b987a8ad2da3,336a8c40-1ff4-fdc4-b8f8-47ef547f2406,1
butter (unsalted),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,7a3d7571-6744-285b-772e-37097e9d386a,bc5fa730bd527ab397a9d48e6e0d5f4a,0d00e5ea-b76d-a5fa-b6de-3268e44e4c33,1
california blackberry (frozen),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,f88d5e66-75fc-1abb-c074-9255db936647,0221527cf67755aa68945fef4cdb05ba,7d20a5a2-2d24-7eb2-939e-cb1768e6a13e,1
canary bean (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,6d8db7bc-a173-c42c-6e63-68136d0047c4,6356ea18a2e816dbcfed5e85390b6240,45f94642-7676-c717-a21a-88db3e4b6762,1
carrot root (peeled),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,0416d3f6-b254-8d67-ba15-26b34027bda6,048d4ab423cc7d795d9b17e262af009a,6f1645ab-d9e2-7729-e3e3-9e4cbdbadb81,1
celery heart (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,25958f77-bfdb-f986-49c3-206fbd08a98e,a1a75fdf628ee18bd782c573a54ee002,9c4ca5d9-b2ab-4b26-b429-291ef59a7b0a,1
celtuce stem (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,495bfcdf-6b1d-ae93-c4a7-8c1df9ac09ff,e0571c9e31032fe2e149c70b3b791ef8,2b3e9caa-8283-8102-086b-6d5f11ebb218,1
cheddar cheese (mild),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,8c72d593-c427-b3d2-facf-21f3ed9e8225,fa1347c79d6d9950808b29cd765d6f49,b3a9ede2-b9bf-c7a8-1aa2-955ddf3045b7,1
chestnut (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,8f34f792-70be-b7c4-355e-724906076f5a,c11c6d6445ccc4d795b85f338d44f39e,831cf3ff-e62f-9472-44c1-77e5120e1233,1
chicken breast (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,066affc4-01cf-b40b-78d6-92314171ceb2,21cb04538c1141313edb4bf3be619804,83332143-ac1e-ba92-bd7f-9664240117ce,1
chicken egg,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,768cc559-0195-1f3f-44f6-4bbbb6b5212c,3071a4b83ddf41ca8a623f82dd1af0c5,c715fa9e-4705-3fdd-ef47-080eb191ed36,1
chokeberry (frozen),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,ed304edc-a7fb-e90c-4c7a-bef0ddae5a05,6a348594605e3d45bcdfd017903f3fc3,efcdb943-c9a3-f2cc-15c7-b4a4871c6c95,1
cinnamon (ground),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,2c867f52-3836-7c27-1041-39941162a3dd,651f2acbc54700ddad32b0966557341d,4f91fe4a-be06-aa92-6703-724e6738bdb8,1
cowpea (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,4a1471bc-6cef-de6f-f5c9-f5659579dd68,0ab1e4f18346cddd209c609a1425d04d,4f5ea749-e262-00a8-4378-2075d82bc1f6,1
cricket powder,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,b4542222-b712-1f6f-0aba-8e2606a777c1,6b37cf0e380eec406011187bed96c002,92f093d7-c697-2a2c-3e7c-bff128721584,1
cucumber (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,609c0ce2-ea00-23e8-c0c6-57cb3761600b,bdf9a6f29fd1fbdaf8f4d020336462ce,9dd63e5b-89ba-5445-8911-e39bbe56d8ce,1
delicata squash,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,befaf2d5-ce3b-715c-010d-4032c8c2ad22,576d944b162b86048fcd532d2388b07b,e544cf1c-32a5-d4ec-002d-3bd91f5c45d1,1
dogwood berry (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,fa92a43b-ff8a-15ab-10b5-b23bf4335610,3afc7615990ab9f0e098b9c0d8976bf7,60e32c2c-284b-e9ab-8587-6f4b67064a57,1
duck egg,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,0b9a3869-f8e5-5ef5-920e-a4ab7ff60795,a883ab67d3a1554a51bb40a3d074d415,ad4900fc-34a0-bf89-9f5e-edbeaa4bda22,1
dulse (dried),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,f44656ed-a577-e594-b9ed-3a364b580af7,76ccb607252345e1befbe75d05bbc05f,eb4bc34e-f769-d40e-6896-472faf405774,1
edamame pod (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,77bd105f-5f4f-b913-da89-49a5cb27dda9,62282005c1663f0b7382535083250d81,b2ee1810-f109-d51f-2378-c631ccc2fef4,1
emu flat fillet (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,89ac211c-6a1d-ff86-0ea2-c6e43ee585af,dd645d1649a4f27f804eb6c97c52925f,b0bd160f-3f3f-2e8b-2f9a-2d21e1a6a3d5,1
english walnut meat,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,06cdff7d-27c4-f80b-0978-ce27a2b65215,e85e92e03bf151c693c91b760777a104,56c8abf0-6218-0f17-3228-97b13b28edca,1
extra firm tofu (raw),ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,5620aa41-1a2f-6607-05a7-4c6b59cd0a6b,bf2072c413e199161afc88159acbc73b,504a3524-2cd7-091d-8f84-9428a6577310,1
farmer cheese,ptfi,has_member,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),unresolved,unresolved,c5bd88df-465f-3d6f-9306-7ef18af9755f,25d2181f18927b4650e0f6b299c328e4,29860da6-3e4c-8bf9-2222-2dfb2d69e8c6,1
