matched_seed_display_labels,matched_seed_resolution_status,subject_name,disease_type,disease_subtype,tissue_original,tissue_group,experimental_method,case_sample_count,control_sample_count,pubmed_ids,pmc_ids,study_description,case_description,control_description,contrast_p_value,contrast_logfc,conclusion,metac_id,phenotype_result,relation_pk,relation_evidence_pk,source
Azelate,resolved,Breast Cancer Recurrence,breast cancer,,Serum,Serum,¹H NMR;GCxGC-MS,67,141,20959483,PMC2995269,11 markers identified Pre recurrence vs. No evidence of disease (NED),Pre-recurrence,No evidence of disease (NED),0.089,,Eleven metabolite markers (seven from NMR and four from GC×GC-MS) were shortlisted from an analysis of all patient samples by using logistic regression and 5-fold cross-validation.,METAC_320,,ce3a2076-f252-b49c-db5d-2af60462d3c9,84981779-c8c6-2119-65ed-929214035254,macdb
Azelate,resolved,Breast Cancer Recurrence,breast cancer,,Serum,Serum,¹H NMR;GCxGC-MS,49,141,20959483,PMC2995269,11 markers identified Within and Post recurrence vs. No evidence of disease (NED),Within and Post recurrence,No evidence of disease (NED),0.4,,Eleven metabolite markers (seven from NMR and four from GC×GC-MS) were shortlisted from an analysis of all patient samples by using logistic regression and 5-fold cross-validation.,METAC_319,,ce3a2076-f252-b49c-db5d-2af60462d3c9,a202facf-3007-7dd6-067d-e6f31d085a2a,macdb
Azelate,resolved,Colorectal Cancer (CRC),colorectal cancer,,Stool,Stool,UPLC-MS/MS,30,33,35600308,PMC9116530,The potential metabolic biomarkers in CRC (Colorectal cancer) and NC (normal control) groups.,Colorectal cancer,normal controls,0.0028,−0.7333,"Regarding the fecal metabolome, twenty-nine metabolites were identified as having significantly changed, showing increased levels of adrenic acid, decanoic acid, arachidonic acid, and tryptophan but a reduction in various monosaccharides in the fecal samples of CRC patients.",METAC_1145,,19008c4a-0db7-7493-c5b5-31fc73bf55d2,1789b60d-b49c-a9c1-66cd-fed09d44e517,macdb
Azelate,resolved,Colorectal Cancer (CRC),colorectal cancer,,Stool,Stool,UPLC-MS/MS,40,40,35736483,,Differentially metabolites in fecal between colorectal cancer (CRC) and advanced adenoma (AA),colorectal cancer,advanced adenoma,0.2019,,,METAC_1157,,19008c4a-0db7-7493-c5b5-31fc73bf55d2,7dcafb63-0d1a-9a01-cd50-bcaa86f4757c,macdb
Azelate,resolved,Colorectal Cancer (CRC),colorectal cancer,,Stool,Stool,UPLC-MS/MS,40,40,35736483,,Differentially metabolites in fecal between colorectal cancer (CRC) and normal colonoscopy,colorectal cancer,Control,0.7258,,,METAC_1156,,19008c4a-0db7-7493-c5b5-31fc73bf55d2,8c9a5370-ba90-132b-afc2-deeb648c696b,macdb
Azelate,resolved,Colorectal Cancer (CRC) Operation,colorectal cancer,,Stool,Stool,CE-TOF-MS,19,19,35311577,PMC9040882,Differential metabolites between right-preoperative colorectal cancer (CRC) patients and right-postoperative colorectal cancer (CRC) patients.,right-preoperative colorectal cancer (CRC) patients,right-postoperative colorectal cancer (CRC) patients,0.112661362,,,METAC_520,,43c21165-83c1-ddeb-d2f5-8068b7c61dd1,00b20bb3-9520-716a-b79b-82a94f750bbb,macdb
Azelate,resolved,Colorectal Cancer (CRC) Operation,colorectal cancer,,Stool,Stool,CE-TOF-MS,64,19,35311577,PMC9040882,Differential metabolites between left-postoperative colorectal cancer (CRC) patients and right-postoperative colorectal cancer (CRC) patients.,left-postoperative colorectal cancer (CRC) patients,right-postoperative colorectal cancer (CRC) patients,0.035536274,,,METAC_530,,43c21165-83c1-ddeb-d2f5-8068b7c61dd1,09cfac40-570f-4c9e-23fb-bd5ea866aeda,macdb
Azelate,resolved,Colorectal Cancer (CRC) Operation,colorectal cancer,,Stool,Stool,CE-TOF-MS,61,61,35311577,PMC9040882,Differential metabolites between preoperative without chemotherapy colorectal cancer (CRC) patients and postoperative without chemotherapy colorectal cancer (CRC) patients.,preoperative without chemotherapy colorectal cancer (CRC) patients,postoperative without chemotherapy colorectal cancer (CRC) patients,0.859912995,,,METAC_534,,43c21165-83c1-ddeb-d2f5-8068b7c61dd1,18ed0434-0bba-7462-9e8c-f485883ce277,macdb
Azelate,resolved,Colorectal Cancer (CRC) Operation,colorectal cancer,,Stool,Stool,CE-TOF-MS,64,19,35311577,PMC9040882,Differential metabolites between left-postoperative colorectal cancer (CRC) patients and right-postoperative colorectal cancer (CRC) patients.,left-postoperative colorectal cancer (CRC) patients,right-postoperative colorectal cancer (CRC) patients,0.071072548,,,METAC_531,,43c21165-83c1-ddeb-d2f5-8068b7c61dd1,1fe3da0d-0463-c51a-6a9a-419c63361173,macdb
Azelate,resolved,Colorectal Cancer (CRC) Operation,colorectal cancer,,Stool,Stool,CE-TOF-MS,83,83,35311577,PMC9040882,Differential metabolites between preoperative colorectal cancer (CRC) patients and postoperative colorectal cancer (CRC) patients.,preoperative colorectal cancer (CRC) patients,postoperative colorectal cancer (CRC) patients,0.833756712,,,METAC_518,,43c21165-83c1-ddeb-d2f5-8068b7c61dd1,2cd3bf0c-0cef-58ea-8238-fae017c900c9,macdb
