seed_order,query_entity_label,entity_resolution_status,entity_pk,api_entity_label,canonical_identifier,annotation_group,annotation_category,annotation_type,annotation_value
1,Azelaic acid (PTF52203),unresolved,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),99dc50de28b8375557636161b32e44ad,identifier,ID,Ptfi,PTF52203
1,Azelaic acid (PTF52203),unresolved,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),99dc50de28b8375557636161b32e44ad,identifier,ID,omnipath,99dc50de28b8375557636161b32e44ad
1,Azelaic acid (PTF52203),unresolved,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),99dc50de28b8375557636161b32e44ad,identifier,Name,Name,Azelaic acid (PTF52203)
1,Azelaic acid (PTF52203),unresolved,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),99dc50de28b8375557636161b32e44ad,identifier,Structure,Molecular Formula,Az
1,Azelaic acid (PTF52203),unresolved,834f4132-7b63-4502-d458-6dc442371796,Azelaic acid (PTF52203),99dc50de28b8375557636161b32e44ad,source,Source,source_membership,ptfi
2,Azelaic acid; nonanedioic acid,unresolved,65c227ae-c250-c609-e519-395d821b1c62,Azelaic acid; nonanedioic acid,7a0fb608ae02e11f72bfb80eac7fa3a5,identifier,ID,Bigg Metabolite,C08261
2,Azelaic acid; nonanedioic acid,unresolved,65c227ae-c250-c609-e519-395d821b1c62,Azelaic acid; nonanedioic acid,7a0fb608ae02e11f72bfb80eac7fa3a5,identifier,ID,Metanetx,MNXM164574
2,Azelaic acid; nonanedioic acid,unresolved,65c227ae-c250-c609-e519-395d821b1c62,Azelaic acid; nonanedioic acid,7a0fb608ae02e11f72bfb80eac7fa3a5,identifier,ID,omnipath,7a0fb608ae02e11f72bfb80eac7fa3a5
2,Azelaic acid; nonanedioic acid,unresolved,65c227ae-c250-c609-e519-395d821b1c62,Azelaic acid; nonanedioic acid,7a0fb608ae02e11f72bfb80eac7fa3a5,identifier,Name,Name,Azelaic acid; nonanedioic acid
2,Azelaic acid; nonanedioic acid,unresolved,65c227ae-c250-c609-e519-395d821b1c62,Azelaic acid; nonanedioic acid,7a0fb608ae02e11f72bfb80eac7fa3a5,identifier,Structure,Molecular Formula,C9H12O4
