record_type,node_id,label,category,evidence,source_node,target_node,target_label,weight,source_table,entity_resolution_status
node,Azelaic acid / Azelate,Azelaic acid / Azelate,Center,1,,,,,selected_entities,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::CAS::123-99-9,CAS: 123-99-9,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::ChEBI::2949,ChEBI: 2949,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::ChEBI::40912,ChEBI: 40912,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::ChEBI::48131,ChEBI: 48131,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::ChEMBL Compound::CHEMBL1238,ChEMBL Compound: CHEMBL1238,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::DrugBank::DB00548,DrugBank: DB00548,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::Drugcentral::270,Drugcentral: 270,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::FooDB::FDB012192,FooDB: FDB012192,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::HMDB::HMDB0000784,HMDB: HMDB0000784,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::Human-GEM Metabolite::MAM01372,Human-GEM Metabolite: MAM01372,ID,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::IUPAC Name::nonanedioic acid,IUPAC Name: nonanedioic acid,Structure,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::IUPAC Name::Nonanedioic acid,IUPAC Name: Nonanedioic acid,Structure,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::IUPAC Traditional Name::azelaic acid,IUPAC Traditional Name: azelaic acid,Structure,1,,,,,entity_identifiers,resolved
node,dae8e667-770c-5d34-a381-8fd25179bc58::KEGG Compound::C08261,KEGG Compound: C08261,ID,1,,,,,entity_identifiers,resolved
