class_label,class_synonym,class_id,class_entity_pk,source,predicate,matched_seed_entity_pks,matched_seed_display_labels,matched_seed_resolution_status,matched_seed_resolution_statuses,relation_pk
Carbonyl compounds,carbonyl | carbonyl compound,CHEMONTID:0001831,efda21f1-e46f-9d51-c849-28cb109af115,hmdb,associated_with,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,a3786faa-d5a2-ce10-e8c5-51a0c688c616
Carboxylic acids,a carboxylate | carboxylic acid | carboxylic acid anion | carboxylic acids | Carboxylic Acids,CHEMONTID:0001205,5add5897-50ab-04c2-4dba-3a483ea0d238,hmdb,associated_with,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,bfe5d82d-8eca-bd02-4759-a138d81026da
Dicarboxylic acids and derivatives,dicarboxylic acid | Dicarboxylic acids | Dicarboxylic Acids,CHEMONTID:0000346,f387e487-b943-4779-0777-802e9170e17c,hmdb,associated_with,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,0e0be29b-8798-6501-2660-238d0fc4dd1e
Fatty acids and conjugates,a fatty acid | Fatty Acids | Fatty Acids and Conjugates | monocarboxylic acid,CHEMONTID:0000262,a329a719-0055-10b4-ab1f-703dbecaeb11,hmdb,associated_with,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,4dafa330-5ffe-f37a-6df1-181311cef15d
Hydrocarbon derivatives,organic molecule,CHEMONTID:0004150,71820721-859c-28e6-e7c0-351495f5617e,hmdb,associated_with,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,2d256d14-c8b8-5020-cb76-6e79f1777709
Medium-chain fatty acids,Fatty Acids and Conjugates | medium-chain fatty acid,CHEMONTID:0003086,5326b446-efc9-3ad6-9d87-6b603b88ecbe,hmdb,associated_with,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,3910fca7-8d5c-c682-5ce1-ae128b5d6031
Organic oxides,organic oxide,CHEMONTID:0003940,61ac853b-6ab0-4b82-8bba-7f02d04c0803,hmdb,associated_with,dae8e667-770c-5d34-a381-8fd25179bc58,Azelate,resolved,resolved,325a4e42-eb4a-b5e6-356c-909b1a217f00
