source,target,source_type,target_type,id_type_a,id_type_b,interaction_type,resource,mor,locations,attrs
CHEBI:16236,frozenset({'Q8IWW8'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'Q8IWW8'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q8IWW8'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q8IWW8'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q8IWW8'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:16236,frozenset({'P28332'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P28332'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P28332'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P28332'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P28332'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:16236,frozenset({'Q8N4Q0'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'Q8N4Q0'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q8N4Q0'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q8N4Q0'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'g', 'n')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q8N4Q0'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
