source,target,source_type,target_type,id_type_a,id_type_b,interaction_type,resource,mor,locations,attrs
CHEBI:16236,frozenset({'P07327'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P07327'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07327'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07327'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07327'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:16236,frozenset({'P40394'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P40394'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P40394'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P40394'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P40394'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:16236,frozenset({'P00325'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P00325'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00325'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00325'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00325'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:16236,frozenset({'P11766'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P11766'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P11766'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P11766'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P11766'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:16236,frozenset({'P08319'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P08319'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'n', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P08319'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P08319'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'n', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P08319'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'n', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:16236,frozenset({'P00326'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P00326'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00326'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00326'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00326'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r', 'x')","{'reverse': False, 'reaction_id': 'MAR03905', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:16236,frozenset({'P14550'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03907', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:58349,frozenset({'P14550'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r')","{'reverse': False, 'reaction_id': 'MAR03907', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P14550'}),CHEBI:15343,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR03907', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P14550'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'r')","{'reverse': False, 'reaction_id': 'MAR03907', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P14550'}),CHEBI:57783,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'r')","{'reverse': False, 'reaction_id': 'MAR03907', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:30089,frozenset({'Q9NR19'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04097', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15422,frozenset({'Q9NR19'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04097', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:1146900,frozenset({'Q9NR19'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04097', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9NR19'}),CHEBI:15351,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04097', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9NR19'}),CHEBI:16027,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04097', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9NR19'}),CHEBI:33019,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04097', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:30089,frozenset({'Q9H6R3'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('m',)","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15422,frozenset({'Q9H6R3'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:1146900,frozenset({'Q9H6R3'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9H6R3'}),CHEBI:15351,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('m',)","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9H6R3'}),CHEBI:16027,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9H6R3'}),CHEBI:33019,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:30089,frozenset({'Q9NUB1'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('m',)","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15422,frozenset({'Q9NUB1'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:1146900,frozenset({'Q9NUB1'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9NUB1'}),CHEBI:15351,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('m',)","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9NUB1'}),CHEBI:16027,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9NUB1'}),CHEBI:33019,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04099', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:37666,frozenset({'Q9NR19'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04108', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9NR19'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04108', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:24636,frozenset({'Q9NR19'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm')","{'reverse': False, 'reaction_id': 'MAR04133', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q9NR19'}),CHEBI:37666,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04133', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:24636,frozenset({'P07195'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:57945,frozenset({'P07195'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:32816,frozenset({'P07195'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'm', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07195'}),CHEBI:422,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07195'}),CHEBI:15846,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:422,frozenset({'P07195'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P07195'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07195'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07195'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'm', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07195'}),CHEBI:32816,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:24636,frozenset({'P00338'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:57945,frozenset({'P00338'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:32816,frozenset({'P00338'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00338'}),CHEBI:422,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00338'}),CHEBI:15846,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'x')","{'reverse': False, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:422,frozenset({'P00338'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P00338'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00338'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'm', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00338'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P00338'}),CHEBI:32816,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c', 'x')","{'reverse': True, 'reaction_id': 'MAR04281', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:24636,frozenset({'P07864'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:57945,frozenset({'P07864'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:32816,frozenset({'P07864'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07864'}),CHEBI:422,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07864'}),CHEBI:15846,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:422,frozenset({'P07864'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'P07864'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07864'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07864'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'P07864'}),CHEBI:32816,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:24636,frozenset({'Q6ZMR3'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:57945,frozenset({'Q6ZMR3'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:32816,frozenset({'Q6ZMR3'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q6ZMR3'}),CHEBI:422,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q6ZMR3'}),CHEBI:15846,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': False, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:422,frozenset({'Q6ZMR3'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
CHEBI:15846,frozenset({'Q6ZMR3'}),small_molecule,protein,chebi,uniprot,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q6ZMR3'}),CHEBI:24636,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM;KEGG,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
frozenset({'Q6ZMR3'}),CHEBI:57945,protein,small_molecule,uniprot,chebi,catalysis,GEM:Human-GEM,1,"('c',)","{'reverse': True, 'reaction_id': 'MAR04388', 'enzyme_complex': False, 'gems': ['Human-GEM']}"
